station_name,address,lat,lon,total_bike,available_bike,location,nowdate
신한은행 서교동금융센터점 앞,서울특별시 마포구 월드컵북로 35 449-28,37.557510,126.918503,5,4,서울,201804261939
서교동 사거리,서울특별시 마포구 양화로 93 427,37.552746,126.918617,10,9,서울,201804261939
제일빌딩 앞,서울특별시 마포구 어울마당로 26 12-2,37.547691,126.919983,10,17,서울,201804261939
사천교,서울특별시 서대문구 홍제천로 11 446-92,37.568199,126.917847,20,4,서울,201804261939
개화동상사마을종점 버스정류장,서울특별시 강서구 개화동로5길 3-8 강서구 개화동 424-2,37.581612,126.798599,10,5,서울,201804261939
방화사거리 마을버스 버스정류장,서울특별시 강서구 양천로17길 6 강서구 방화동 769-23,37.573643,126.811806,10,2,서울,201804261939
방화역 4번출구앞,서울특별시 강서구 금낭화로 135 강서구 방화동 829-8,37.577221,126.812195,10,8,서울,201804261939
방화근린공원,서울특별시 강서구 금낭화로 176 강서구 방화동 855,37.581623,126.812653,10,7,서울,201804261939
신방화사거리,서울특별시 강서구 방화대로 342 신방화 사거리,37.573032,126.816452,10,10,서울,201804261939
공항시장역 1번출구,서울특별시 강서구 방화동로 지하 30 강서구 방화동 612-249,37.563560,126.810150,8,4,서울,201804261939
공항시장역 4번출구,서울특별시 강서구 방화동로 지하 30 강서구 공항동 산20-2,37.563347,126.810486,6,4,서울,201804261939
상수역 2번출구 앞,서울특별시 마포구 와우산로 40 309-10,37.547871,126.923531,10,5,서울,201804261939
공항중학교앞,서울특별시 강서구 방화대로 241 공항중학교 앞,37.562683,126.816238,10,6,서울,201804261939
마곡엠밸리6_7단지 마곡중학교,서울특별시 강서구 마곡중앙5로 58 강서구 마곡동 743-3,37.566982,126.821800,15,1,서울,201804261939
마곡엠밸리4단지 정문,서울특별시 강서구 마곡서로 175 강서구 마곡동 754-6,37.568577,126.824776,15,10,서울,201804261939
서남환경공원 버스정류장,서울특별시 강서구 양천로 201 강서구 마곡동 222-30,37.573093,126.822899,15,3,서울,201804261939
서남물재생센터 버스정류장,서울특별시 강서구 양천로 200 강서구 마곡동 223-6,37.572781,126.826279,15,0,서울,201804261939
등촌역 1번출구옆,서울특별시 강서구 공항대로59길 8 강서구 등촌동 666-90,37.551666,126.864090,10,6,서울,201804261939
스타벅스앞,서울특별시 강서구 공항대로 329 강서구 등촌동 675-7,37.558197,126.844261,10,3,서울,201804261939
증미역 3번출구뒤(등촌두산위브센티움오피스텔),서울특별시 강서구 양천로 지하 560 강서구 등촌동 666-40,37.557461,126.861458,10,11,서울,201804261939
염창동 한마음아파트앞(염창동 빛나는 음악학원앞),서울특별시 강서구 양천로 637 강서구 염창동 284-18,37.554253,126.867561,6,5,서울,201804261939
극동방송국 앞,서울특별시 마포구 와우산로 56 89-2,37.549202,126.923203,10,5,서울,201804261939
대림경동아파트앞,서울특별시 강서구 허준로 121 강서구 가양동 1475-2,37.565189,126.853996,10,12,서울,201804261939
가양레포츠센터앞,서울특별시 강서구 양천로61길 101 강서구 가양동 1484-5,37.559479,126.864380,15,8,서울,201804261939
황금내근린공원,서울특별시 강서구 허준로 221-40 강서구 가양동 1485-5,37.561932,126.863869,10,10,서울,201804261939
공암나루근린공원 관리사무소옆,서울특별시 강서구 강서로80길 117 강서구 가양동 1459-9,37.570480,126.849503,15,4,서울,201804261939
발산역 6번출구옆(다이소앞),서울특별시 강서구 공항대로 280 강서구 내발산동 645-1,37.557968,126.838287,10,14,서울,201804261939
명덕고교입구(영종빌딩),서울특별시 강서구 강서로 304 강서구 내발산동 724-42,37.552914,126.836571,10,4,서울,201804261939
우장산역 1번출구옆(우장산아이파크105동앞),서울특별시 강서구 강서로 지하 262 강서구 화곡동 1159-6,37.548908,126.836563,7,7,서울,201804261939
화곡역(에이스정형외과앞) 버스정류장,서울특별시 강서구 화곡로 157 강서구 화곡동 1089-52,37.540981,126.838547,10,6,서울,201804261939
화곡역 6번출구,서울특별시 강서구 화곡로 지하 168 화곡역 6번출구,37.541412,126.840225,10,4,서울,201804261939
화곡역 1번 출구 앞,서울특별시 강서구 화곡로 지하 168 강서구 화곡동 1089-43,37.542099,126.840218,10,7,서울,201804261939
홍대입구역 2번출구 앞,서울특별시 마포구 양화로 165 156-8,37.557499,126.923805,25,18,서울,201804261939
화곡본동시장 버스정류장,서울특별시 강서구 화곡로 196 강서구 화곡동 109-12,37.542751,126.842621,7,2,서울,201804261939
꿈돌이공원 앞,서울특별시 강서구 화곡로 232 강서구 화곡동 94-6,37.546444,126.845459,8,8,서울,201804261939
등촌역 7번출구,서울특별시 강서구 공항대로 지하 529 강서구 등촌동 505-3,37.551109,126.863708,10,11,서울,201804261939
강서구의회,서울특별시 강서구 등촌로 185 강서구 등촌동 608-4,37.546532,126.862549,10,2,서울,201804261939
등촌2파출소,서울특별시 강서구 등촌로 167 강서구 등촌동 608-6,37.544788,126.862000,10,7,서울,201804261939
