acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
419,2008,전남,진도군,,,,,,,2,1,,,1,
420,2008,전남,신안군,,,,,,,,,,1,,
421,2008,경북,포항시,1,,4,13,19,21,11,26,22,28,14,10
422,2008,경북,경주시,2,2,4,6,17,15,13,14,21,25,15,8
423,2008,경북,김천시,,1,1,6,5,2,6,3,5,4,4,4
424,2008,경북,안동시,,1,1,1,8,5,10,9,7,8,2,1
425,2008,경북,구미시,1,,3,18,23,13,8,20,16,13,10,6
426,2008,경북,영주시,,,2,6,10,9,4,12,16,12,5,2
427,2008,경북,영천시,,,,1,,2,2,4,7,6,3,
428,2008,경북,문경시,,,,2,6,7,6,3,4,5,4,1
429,2008,경북,상주시,,,,4,16,10,7,4,13,14,8,1
430,2008,경북,군위군,,,,,,,,1,2,1,,
431,2008,경북,의성군,,,,2,2,3,3,3,,1,,
432,2008,경북,청송군,,,,,,,1,3,1,,,
433,2008,경북,영양군,,,,,,,2,,2,,,
434,2008,경북,영덕군,1,,1,2,1,,1,1,4,3,1,
435,2008,경북,청도군,1,,,,,,2,1,1,1,,
436,2008,경북,고령군,,,,2,1,1,2,3,6,6,1,
437,2008,경북,성주군,,,,1,,2,2,2,3,5,,1
438,2008,경북,칠곡군,,,,1,1,1,1,4,6,6,1,2
439,2008,경북,예천군,,,,,,1,1,3,4,3,1,
440,2008,경북,봉화군,,,,,2,,1,1,,1,,
441,2008,경북,울진군,,1,,,1,1,1,1,2,1,1,1
442,2008,경북,울릉군,,,,,,,,,,,,
443,2008,경북,경산시,3,1,2,8,12,6,8,14,19,17,3,6
444,2008,경남,마산시,1,1,4,12,14,6,7,8,11,9,10,5
445,2008,경남,진주시,2,2,2,12,11,10,15,10,17,20,9,3
446,2008,경남,창원시,1,1,1,21,25,8,12,15,18,13,12,6
447,2008,경남,진해시,,,,8,2,4,8,3,8,6,4,
448,2008,경남,통영시,,,,2,3,,3,2,1,3,1,
449,2008,경남,김해시,2,1,1,12,13,4,7,10,14,6,8,7
450,2008,경남,밀양시,,,1,4,4,3,6,3,8,3,3,
451,2008,경남,거제시,,,,13,3,1,7,1,3,19,5,15
452,2008,경남,의령군,1,,1,,1,2,,2,2,2,,
453,2008,경남,함안군,,,,,2,3,5,,3,1,1,
454,2008,경남,창녕군,,,,,4,,1,4,3,1,1,
455,2008,경남,양산시,1,,1,2,8,,4,6,7,5,1,3
456,2008,경남,고성군,,,,1,2,,2,2,3,2,2,1
457,2008,경남,사천시,1,,1,1,5,1,2,2,4,4,1,
458,2008,경남,남해군,,,,1,1,1,,,1,2,1,1
459,2008,경남,하동군,,,,1,2,3,1,,,2,1,
460,2008,경남,산청군,,,,,1,1,,,1,1,,
461,2008,경남,함양군,1,,1,2,1,1,1,1,,5,1,1
462,2008,경남,거창군,1,,,,,1,1,3,4,3,2,
463,2008,경남,합천군,,,,,1,,,,3,,,
464,2008,경남,창원시(통합),,,,,,,,,,,,
465,2008,제주,제주시,3,,,9,13,10,12,21,27,16,5,3
466,2008,제주,서귀포시,1,,1,1,2,2,1,6,4,10,3,3
467,2009,서울,종로구,1,,1,7,6,7,4,7,9,6,5,5
468,2009,서울,중구,,1,1,1,6,5,5,6,4,8,4,2
469,2009,서울,용산구,1,1,,6,4,5,5,10,8,9,1,3
470,2009,서울,성동구,3,4,4,8,16,13,4,19,22,28,16,14
471,2009,서울,동대문구,4,1,7,11,37,20,28,41,43,30,34,15
472,2009,서울,성북구,7,1,4,10,11,18,13,12,22,22,8,11
473,2009,서울,도봉구,5,1,8,11,18,8,14,21,29,15,12,6
474,2009,서울,은평구,3,3,4,19,22,21,17,37,36,28,21,14
475,2009,서울,서대문구,,2,2,5,4,9,4,8,6,7,8,7
476,2009,서울,마포구,4,2,4,10,17,18,12,18,14,18,14,10
477,2009,서울,강서구,6,3,11,13,17,20,25,26,24,27,16,9
478,2009,서울,구로구,4,1,9,9,28,15,15,13,17,19,10,6
479,2009,서울,영등포구,4,1,8,19,31,23,27,33,37,32,26,16
480,2009,서울,동작구,2,1,3,5,10,8,8,11,11,5,9,5
481,2009,서울,관악구,3,2,6,7,14,4,14,2,16,7,16,10
482,2009,서울,강남구,5,3,4,4,21,15,8,12,20,20,16,10
483,2009,서울,강동구,8,3,5,19,27,18,16,33,31,36,17,13
484,2009,서울,송파구,16,3,10,36,62,28,29,29,35,49,37,22
485,2009,서울,서초구,2,3,,5,12,9,6,4,7,12,4,8
486,2009,서울,양천구,12,3,5,15,28,20,24,19,34,30,22,14
487,2009,서울,중랑구,8,4,5,19,27,21,20,33,27,34,32,14
488,2009,서울,노원구,10,3,9,18,27,19,28,27,30,31,29,19
489,2009,서울,광진구,7,1,7,18,32,22,19,24,33,28,20,21
490,2009,서울,강북구,6,,4,7,14,11,12,19,9,8,10,7
491,2009,서울,금천구,2,1,5,13,12,9,4,9,12,9,6,3
492,2009,부산,중구,,,,1,,,1,3,4,2,1,
493,2009,부산,서구,,,,,,1,,2,1,,3,
494,2009,부산,동구,,1,,1,1,1,1,1,4,1,2,2
495,2009,부산,영도구,,,1,1,1,,3,3,1,2,,1
496,2009,부산,진구,2,,,7,13,13,8,7,9,3,3,1
497,2009,부산,동래구,1,,1,5,13,7,6,8,11,4,4,3
498,2009,부산,남구,1,3,2,12,7,6,8,6,10,9,6,1
499,2009,부산,북구,,1,,2,5,2,1,,4,3,1,1
500,2009,부산,해운대구,2,1,2,11,7,9,7,11,9,12,9,5
501,2009,부산,사하구,1,1,,11,5,4,,5,6,9,2,3
502,2009,부산,금정구,1,2,1,3,6,5,2,6,5,9,7,
503,2009,부산,강서구,1,,2,4,5,5,4,4,6,7,7,1
504,2009,부산,연제구,1,,,6,16,3,8,10,8,4,6,4
505,2009,부산,수영구,2,,1,4,6,4,5,7,8,8,6,4
506,2009,부산,사상구,3,,,8,16,2,8,12,12,10,5,3
507,2009,부산,기장군,,,,3,2,,3,3,2,1,3,
508,2009,대구,중구,1,,5,10,16,12,11,15,16,7,9,5
509,2009,대구,동구,4,1,3,9,24,22,21,24,30,27,22,4
510,2009,대구,서구,6,1,3,21,28,10,14,9,14,20,16,7
511,2009,대구,남구,2,2,1,5,14,6,9,7,13,18,9,6
512,2009,대구,북구,8,3,3,29,53,43,36,47,45,46,32,20
513,2009,대구,수성구,9,5,2,15,32,21,22,28,32,40,20,15
514,2009,대구,달서구,8,1,10,30,52,23,14,32,61,44,44,18
515,2009,대구,달성군,,,,6,5,5,6,10,12,6,6,7
516,2009,인천,중구,,,,4,3,5,,4,8,5,1,
517,2009,인천,동구,,,,3,5,,,4,8,3,1,
518,2009,인천,남구,1,1,2,9,11,12,12,17,11,16,7,2
519,2009,인천,부평구,5,2,4,20,34,15,23,21,32,31,27,18
520,2009,인천,남동구,3,,4,9,17,18,8,23,29,23,10,10
521,2009,인천,서구,1,,2,5,7,4,5,10,9,7,6,2
522,2009,인천,연수구,3,,3,7,12,8,9,6,10,15,7,5
523,2009,인천,계양구,1,,1,4,11,4,7,5,20,8,10,7
524,2009,인천,강화군,,,,1,2,1,,6,,2,4,1
525,2009,인천,옹진군,,,,,,,,1,,1,,
526,2009,광주,동구,,1,,10,9,6,6,9,12,8,5,4
527,2009,광주,서구,1,2,5,14,12,7,4,13,14,16,3,4
528,2009,광주,북구,3,1,1,14,17,18,13,18,19,23,26,6
529,2009,광주,광산구,2,2,1,8,14,14,10,14,21,26,12,4
530,2009,광주,남구,,,1,2,12,2,2,5,6,8,2,4
531,2009,대전,동구,2,1,3,12,19,13,10,14,17,15,16,8
532,2009,대전,중구,4,,2,11,22,10,10,15,10,13,14,4
533,2009,대전,서구,3,2,1,17,22,12,15,13,24,29,15,12
534,2009,대전,유성구,1,2,,8,7,2,8,10,7,5,5,4
535,2009,대전,대덕구,1,,1,11,15,3,7,11,16,16,8,3
536,2009,울산,중구,3,,2,8,10,8,11,7,11,14,10,3
537,2009,울산,남구,,1,3,9,9,5,9,7,15,12,10,6
538,2009,울산,동구,1,,,3,1,1,,,4,3,3,
539,2009,울산,북구,1,,1,14,9,6,3,2,11,11,8,1
540,2009,울산,울주군,,1,,2,6,2,7,7,10,5,1,1
541,2009,경기,수원시,8,7,5,28,29,19,19,23,35,35,29,7
542,2009,경기,성남시,3,1,5,12,20,9,12,7,20,9,9,8
543,2009,경기,의정부시,6,,4,13,18,17,19,23,22,26,20,6
544,2009,경기,안양시,2,4,4,5,33,13,9,20,18,14,17,6
545,2009,경기,부천시,3,6,7,26,42,21,25,36,38,47,39,19
546,2009,경기,안산시,,1,6,19,28,15,16,18,16,15,12,6
547,2009,경기,평택시,,1,5,5,11,14,5,10,15,12,9,3
548,2009,경기,광명시,,,2,11,13,7,12,10,8,13,4,3
549,2009,경기,구리시,1,1,,4,5,4,4,1,5,8,2,3
550,2009,경기,양주시,1,,,5,3,2,2,3,2,4,1,2
551,2009,경기,여주시,,,,,3,2,3,6,2,2,1,1
552,2009,경기,화성시,3,1,1,6,5,5,7,8,12,10,8,1
553,2009,경기,시흥시,,1,,8,10,11,18,15,16,19,13,7
554,2009,경기,파주시,,,1,5,11,3,4,6,8,5,6,
555,2009,경기,고양시,5,3,8,18,33,26,26,50,52,47,27,8
556,2009,경기,광주시,,,,1,5,2,2,6,5,4,8,
557,2009,경기,연천군,,,,,1,,2,1,2,1,1,
558,2009,경기,포천시,2,,1,3,6,2,1,2,5,1,,3
559,2009,경기,가평군,,,,,,1,1,1,5,3,,
560,2009,경기,양평군,,,,1,2,3,1,1,2,5,1,2
561,2009,경기,이천시,1,1,,1,5,5,5,4,4,5,4,2
562,2009,경기,용인시,,,2,7,6,8,6,12,12,19,7,4
563,2009,경기,안성시,1,,1,,2,4,2,2,7,8,,
564,2009,경기,김포시,1,,1,5,5,4,4,6,8,7,7,2
565,2009,경기,동두천시,,,,2,4,6,1,8,11,6,,2
566,2009,경기,과천시,,,,1,3,1,1,1,5,2,3,1
567,2009,경기,군포시,,,,4,6,4,4,2,4,7,3,3
568,2009,경기,남양주시,,,2,2,7,6,8,6,15,11,5,1
569,2009,경기,오산시,2,,,10,5,2,3,9,6,7,6,3
570,2009,경기,의왕시,1,,,1,,3,3,4,4,1,1,2
571,2009,경기,하남시,2,,,7,5,2,5,9,4,9,9,5
572,2009,강원,춘천시,3,3,1,4,16,15,14,10,20,11,11,9
573,2009,강원,원주시,,,2,4,20,9,11,18,17,26,3,5
574,2009,강원,동해시,1,,2,1,5,3,2,5,3,4,2,
575,2009,강원,강릉시,,,2,5,7,10,6,4,9,11,4,4
576,2009,강원,속초시,,,1,2,2,7,6,6,4,3,4,3
577,2009,강원,태백시,,,,,1,,1,,1,,1,
578,2009,강원,삼척시,,,,3,3,6,3,5,7,3,4,2
579,2009,강원,홍천군,1,,,1,4,2,1,1,3,4,1,
580,2009,강원,횡성군,,,,,,1,1,,1,3,,
581,2009,강원,영월군,,,,1,,,3,1,2,,,
582,2009,강원,평창군,,,,,2,1,,1,,1,,
583,2009,강원,정선군,,,,,,,,,1,3,,
584,2009,강원,철원군,,,,,1,1,2,,3,1,1,1
585,2009,강원,화천군,,,,,,,1,,1,,,
586,2009,강원,양구군,1,,,,,,,1,1,1,3,
587,2009,강원,인제군,,,,,,,,2,,,,
588,2009,강원,고성군,,,,,2,,1,2,1,3,,
589,2009,강원,양양군,,,,,,,,2,3,,1,
590,2009,충북,청주시,3,2,6,21,38,32,27,46,47,52,27,14
591,2009,충북,충주시,1,,2,8,20,10,7,15,15,17,9,7
592,2009,충북,제천시,,1,,3,7,6,9,4,4,6,3,2
593,2009,충북,청원군,1,,1,1,3,2,2,5,2,7,3,1
594,2009,충북,보은군,,,,,,,3,1,3,1,,
595,2009,충북,옥천군,,,,,2,2,1,3,2,,4,
596,2009,충북,영동군,,,,1,2,2,6,4,1,5,1,1
597,2009,충북,진천군,,,,2,1,,2,1,2,1,,1
598,2009,충북,괴산군,,,,,,,,1,2,4,3,
599,2009,충북,음성군,1,1,,1,,4,3,4,3,6,2,
600,2009,충북,단양군,,,,,,2,1,,1,,,1
601,2009,충북,증평군,,,,3,1,2,2,3,3,,1,2
602,2009,충남,천안시,6,1,1,13,7,6,5,11,17,15,9,4
603,2009,충남,아산시,1,,1,2,3,5,2,4,8,7,5,1
604,2009,충남,보령시,1,2,,2,2,4,2,3,1,4,2,1
605,2009,충남,공주시,,2,1,4,3,2,3,4,5,2,2,
606,2009,충남,서산시,,,,2,2,2,2,3,6,5,4,2
607,2009,충남,금산군,,,,1,1,2,2,4,2,6,2,1
608,2009,충남,태안군,,,,,1,,,,2,2,,
609,2009,충남,연기군,,,2,1,1,2,2,6,2,6,1,2
610,2009,충남,논산시,,,,3,5,6,4,6,8,4,,3
611,2009,충남,부여군,1,,,2,3,1,3,,6,4,,1
612,2009,충남,서천군,,,,3,3,2,2,5,8,5,3,1
613,2009,충남,청양군,,,,,,1,,2,2,4,1,
614,2009,충남,홍성군,,1,,2,5,2,4,,4,6,3,2
615,2009,충남,예산군,,,1,2,5,1,1,3,2,4,1,
616,2009,충남,당진시,,,,2,1,,1,2,3,,1,
617,2009,충남,계룡시,,,,,1,,,1,3,4,,
618,2009,전북,전주시,11,4,4,25,35,27,26,25,45,39,20,17
619,2009,전북,군산시,1,,2,16,19,12,10,11,20,20,6,4
620,2009,전북,정읍시,,,2,4,7,4,10,10,10,11,5,
621,2009,전북,남원시,,,,,7,9,5,9,9,6,5,3
622,2009,전북,김제시,,,,2,3,2,4,1,4,7,8,1
623,2009,전북,완주군,,,,3,1,3,3,,3,6,1,
624,2009,전북,진안군,,,,1,1,,1,,1,1,,
625,2009,전북,무주군,,,,,,,,,1,1,,
626,2009,전북,장수군,,,,,,,1,1,2,1,,
627,2009,전북,임실군,,,,,1,,1,,2,2,,
628,2009,전북,순창군,,,,1,2,,,2,1,,,
629,2009,전북,고창군,,,,,,1,1,2,1,3,1,2
630,2009,전북,부안군,,,,2,1,1,2,5,2,2,1,
631,2009,전북,익산시,1,3,1,8,22,14,13,24,31,20,16,5
632,2009,전남,목포시,2,,2,9,13,16,5,9,8,5,7,3
633,2009,전남,여수시,,,,,2,3,4,4,5,6,3,1
634,2009,전남,순천시,2,,1,9,8,6,7,11,14,16,5,5
635,2009,전남,나주시,1,1,,3,1,3,2,6,5,9,3,2
636,2009,전남,광양시,,,,2,2,2,5,2,8,8,6,
637,2009,전남,담양군,,,,,1,2,3,3,2,1,1,
638,2009,전남,곡성군,,,1,1,,,1,,3,,,
639,2009,전남,구례군,,,,,1,1,1,,1,1,,
640,2009,전남,고흥군,,,,2,2,,,1,3,3,2,1
641,2009,전남,보성군,,,,1,,,1,1,,1,,
642,2009,전남,화순군,,,,2,,2,2,3,3,5,1,1
643,2009,전남,장흥군,,,,2,4,1,3,4,1,2,,
644,2009,전남,강진군,,,,2,1,3,1,,1,2,2,
645,2009,전남,해남군,,,,,1,,,1,1,1,1,
646,2009,전남,영암군,,1,1,3,1,1,,4,3,5,1,1
647,2009,전남,무안군,1,1,,,,1,,,1,2,1,
648,2009,전남,함평군,,1,,,,,,,1,,1,
649,2009,전남,영광군,,,,,2,3,3,2,3,5,,
650,2009,전남,장성군,,,1,,,,,1,2,1,1,
651,2009,전남,완도군,,,,,,1,,3,2,,,
652,2009,전남,진도군,,,,,2,,2,,3,1,,
653,2009,전남,신안군,,,,1,,1,,1,,,1,
654,2009,경북,포항시,6,2,4,21,21,24,21,33,33,33,21,10
655,2009,경북,경주시,4,2,5,13,19,17,19,23,28,22,14,11
656,2009,경북,김천시,,,,1,3,5,2,3,8,10,5,
657,2009,경북,안동시,1,,,5,7,2,2,9,9,7,6,1
658,2009,경북,구미시,2,1,1,11,22,12,11,21,24,31,10,4
659,2009,경북,영주시,,,,2,10,9,14,11,19,17,5,2
660,2009,경북,영천시,2,,1,1,7,4,2,3,4,10,4,
661,2009,경북,문경시,,,,,8,6,3,2,7,7,5,
662,2009,경북,상주시,,,1,6,7,13,12,18,21,23,6,1
663,2009,경북,군위군,,,,,1,1,3,,,,1,
664,2009,경북,의성군,,,,3,1,1,1,1,1,,1,1
665,2009,경북,청송군,,,,,,,,,,,1,
666,2009,경북,영양군,,,,,2,,1,2,3,1,,1
667,2009,경북,영덕군,,,,,1,3,,2,2,3,2,2
668,2009,경북,청도군,,,,,2,1,2,1,1,1,1,1
669,2009,경북,고령군,,,,1,3,4,4,1,3,3,1,
670,2009,경북,성주군,,,,,1,1,1,2,3,7,1,
671,2009,경북,칠곡군,,,1,2,5,5,4,4,4,4,5,
672,2009,경북,예천군,,,1,,4,1,1,3,5,,,
673,2009,경북,봉화군,,,,1,1,1,,1,2,3,,
674,2009,경북,울진군,,,,,1,2,1,2,2,1,2,
675,2009,경북,울릉군,,,,,,,,,,,,
676,2009,경북,경산시,3,,,8,11,7,9,9,11,20,17,4
677,2009,경남,마산시,2,2,1,10,7,7,5,8,11,14,5,5
678,2009,경남,진주시,2,3,,8,20,7,11,15,15,21,12,5
679,2009,경남,창원시,4,2,1,29,33,14,19,19,23,28,19,12
680,2009,경남,진해시,1,,,5,9,3,10,5,14,4,3,
681,2009,경남,통영시,,,1,4,1,3,2,4,7,7,2,1
682,2009,경남,김해시,3,,2,8,17,11,14,15,16,14,13,4
683,2009,경남,밀양시,,,,4,5,4,4,6,6,3,2,
684,2009,경남,거제시,1,,,17,2,3,5,,7,13,12,4
685,2009,경남,의령군,1,,,1,2,3,,2,2,2,2,
686,2009,경남,함안군,,,,1,2,3,4,7,3,2,,1
687,2009,경남,창녕군,1,,,1,2,1,1,1,2,2,,2
688,2009,경남,양산시,,,,3,5,5,2,9,5,5,2,4
689,2009,경남,고성군,1,,,1,3,,,2,2,3,,
690,2009,경남,사천시,,1,,4,7,2,3,3,9,4,6,4
691,2009,경남,남해군,,,,,2,,2,,,,,
692,2009,경남,하동군,,,,,2,1,,2,,,2,1
693,2009,경남,산청군,,,,,,,,,2,1,,
694,2009,경남,함양군,,1,,1,,1,,2,1,1,2,
695,2009,경남,거창군,,,,1,4,3,1,3,4,2,,
696,2009,경남,합천군,,,,,3,,1,1,2,3,,1
697,2009,경남,창원시(통합),,,,,,,,,,,,
698,2009,제주,제주시,3,,,10,14,10,15,18,26,10,6,3
699,2009,제주,서귀포시,,,1,2,4,2,9,5,6,4,2,
700,2010,서울,종로구,,1,,4,3,4,5,8,6,6,4,4
701,2010,서울,중구,,,2,2,11,7,5,2,13,4,8,
702,2010,서울,용산구,1,1,1,1,1,4,4,7,2,9,5,4
703,2010,서울,성동구,4,1,3,11,14,11,14,14,16,17,10,11
704,2010,서울,동대문구,6,2,6,19,25,18,27,29,19,40,16,12
705,2010,서울,성북구,3,2,6,9,13,11,10,9,19,12,10,9
706,2010,서울,도봉구,2,2,6,4,19,12,9,11,20,23,12,6
707,2010,서울,은평구,3,1,4,10,21,16,18,17,27,14,20,16
708,2010,서울,서대문구,2,2,1,7,4,10,6,10,4,7,4,3
709,2010,서울,마포구,1,7,1,9,15,12,18,15,22,18,24,8
710,2010,서울,강서구,4,1,9,12,15,18,17,21,32,23,22,13
711,2010,서울,구로구,3,4,9,9,23,5,14,17,20,16,22,9
712,2010,서울,영등포구,6,2,5,14,32,20,26,36,35,33,23,18
713,2010,서울,동작구,1,,3,7,12,6,7,7,13,12,6,5
714,2010,서울,관악구,3,3,5,5,17,12,9,9,10,6,6,3
715,2010,서울,강남구,8,5,6,5,14,11,5,17,18,14,8,13
716,2010,서울,강동구,5,3,4,26,29,20,16,29,33,35,21,13
717,2010,서울,송파구,10,7,11,27,45,26,28,36,41,48,25,29
718,2010,서울,서초구,2,2,4,7,14,8,7,10,8,13,10,10
719,2010,서울,양천구,3,3,4,12,28,14,15,21,31,37,17,10
720,2010,서울,중랑구,6,4,8,14,26,22,19,33,30,29,24,18
721,2010,서울,노원구,3,3,6,12,25,22,24,20,24,25,26,20
722,2010,서울,광진구,3,1,9,18,30,14,14,28,28,14,20,14
723,2010,서울,강북구,2,2,4,2,9,7,8,10,13,11,13,8
724,2010,서울,금천구,2,2,5,11,14,6,3,12,8,9,5,3
725,2010,부산,중구,,,,,,1,2,2,1,1,2,3
726,2010,부산,서구,,,,4,3,3,1,1,1,,,2
727,2010,부산,동구,1,,2,1,1,4,,5,1,1,1,
728,2010,부산,영도구,,,,,2,,2,1,3,,2,1
729,2010,부산,진구,1,,3,5,5,8,9,13,8,7,8,4
730,2010,부산,동래구,,1,3,4,9,8,3,9,9,9,8,4
731,2010,부산,남구,2,,3,8,8,5,5,7,17,8,10,4
732,2010,부산,북구,,,1,1,1,3,1,4,,4,1,1
733,2010,부산,해운대구,2,,3,6,6,5,5,6,12,7,2,3
734,2010,부산,사하구,,,2,6,7,3,4,3,2,5,4,1
735,2010,부산,금정구,,,2,4,4,9,5,5,12,6,4,4
736,2010,부산,강서구,,,,2,6,5,4,1,4,4,3,
737,2010,부산,연제구,1,,2,6,6,4,4,5,5,11,6,3
738,2010,부산,수영구,,,1,4,8,5,7,6,8,9,6,1
739,2010,부산,사상구,2,,3,3,11,4,7,9,8,12,7,4
740,2010,부산,기장군,,1,,1,1,3,4,1,2,,1,2
741,2010,대구,중구,3,2,8,7,16,10,11,22,24,17,12,4
742,2010,대구,동구,3,,2,13,32,20,17,10,23,24,19,4
743,2010,대구,서구,3,1,2,14,22,10,13,12,22,29,20,8
744,2010,대구,남구,1,2,4,12,14,7,7,5,14,13,7,4
745,2010,대구,북구,5,2,3,26,35,22,42,28,29,33,25,17
746,2010,대구,수성구,3,2,3,15,32,19,13,39,35,30,27,16
747,2010,대구,달서구,9,1,2,30,46,21,20,25,40,43,36,14
748,2010,대구,달성군,,,1,2,6,7,1,8,8,8,4,2
749,2010,인천,중구,,,3,1,4,1,1,1,3,4,1,
750,2010,인천,동구,,,1,1,,2,,2,3,3,2,
751,2010,인천,남구,2,1,4,4,18,3,4,7,8,15,11,2
752,2010,인천,부평구,3,1,8,14,25,18,12,24,26,27,16,12
753,2010,인천,남동구,1,3,1,8,24,7,9,10,18,14,9,3
754,2010,인천,서구,,,,7,7,3,2,6,11,9,4,1
755,2010,인천,연수구,1,,,5,10,6,6,7,9,14,9,1
756,2010,인천,계양구,2,1,1,5,14,7,7,8,9,14,10,3
757,2010,인천,강화군,,,,,2,3,2,2,1,5,1,
758,2010,인천,옹진군,,,,,,,,,,1,,
759,2010,광주,동구,,,,3,6,5,3,8,6,4,5,2
760,2010,광주,서구,1,,4,13,8,3,8,11,18,13,2,2
761,2010,광주,북구,1,3,1,11,16,15,7,14,18,22,10,10
762,2010,광주,광산구,2,1,,13,14,10,9,10,23,16,14,10
763,2010,광주,남구,1,,3,3,6,6,3,2,6,4,3,4
764,2010,대전,동구,,1,4,11,14,10,8,16,23,16,5,8
765,2010,대전,중구,2,1,2,8,15,10,16,11,14,13,8,7
766,2010,대전,서구,2,1,1,13,14,20,11,19,15,21,16,9
767,2010,대전,유성구,,,,6,10,3,5,7,7,15,4,5
768,2010,대전,대덕구,3,,1,5,12,5,5,11,12,15,3,2
769,2010,울산,중구,1,,2,8,9,5,8,6,16,8,8,3
770,2010,울산,남구,1,3,3,6,14,9,4,9,14,12,12,7
771,2010,울산,동구,2,,,4,2,,1,2,3,8,3,
772,2010,울산,북구,3,1,,12,6,3,1,5,7,13,7,3
773,2010,울산,울주군,,,,2,2,,1,5,4,5,2,2
774,2010,경기,수원시,4,4,7,20,23,12,21,26,30,25,25,13
775,2010,경기,성남시,2,1,7,7,7,8,7,10,12,20,5,5
776,2010,경기,의정부시,2,3,5,10,18,12,11,15,18,12,17,5
777,2010,경기,안양시,5,3,2,5,21,10,13,9,16,18,14,6
778,2010,경기,부천시,4,3,7,27,29,14,24,33,41,41,36,17
779,2010,경기,안산시,2,1,3,26,12,9,17,19,18,23,23,9
780,2010,경기,평택시,1,,1,7,8,12,8,7,7,15,7,4
781,2010,경기,광명시,2,,2,4,7,7,3,5,7,7,5,3
782,2010,경기,구리시,,1,1,2,6,4,10,6,11,6,6,4
783,2010,경기,양주시,1,,,1,,4,4,3,7,4,4,
784,2010,경기,여주시,,,1,,2,3,2,1,5,3,1,2
785,2010,경기,화성시,,,,13,4,5,3,10,10,8,6,5
786,2010,경기,시흥시,2,3,,9,16,9,5,12,14,20,6,4
787,2010,경기,파주시,2,,,5,2,3,4,4,4,7,3,
788,2010,경기,고양시,8,2,7,13,38,19,24,32,36,32,26,16
789,2010,경기,광주시,3,,,2,2,3,1,5,3,5,3,3
790,2010,경기,연천군,,,,,,,1,,1,1,,
791,2010,경기,포천시,,,,,3,,2,3,2,7,1,2
792,2010,경기,가평군,,,,,2,2,1,1,4,4,1,2
793,2010,경기,양평군,,,,,3,2,2,5,2,,2,1
794,2010,경기,이천시,1,1,1,1,1,2,1,3,4,5,2,1
795,2010,경기,용인시,,,5,4,10,7,5,11,10,18,10,3
796,2010,경기,안성시,1,,1,,2,2,5,4,8,8,2,2
797,2010,경기,김포시,,,3,3,6,5,5,3,4,6,,3
798,2010,경기,동두천시,,,,5,1,1,10,1,7,4,2,1
799,2010,경기,과천시,,,,,,,3,2,1,2,4,1
800,2010,경기,군포시,2,,1,4,7,1,,3,4,9,1,1
801,2010,경기,남양주시,,,,7,4,2,4,7,7,2,3,
802,2010,경기,오산시,,,,2,4,3,1,1,2,3,10,2
803,2010,경기,의왕시,1,,,3,4,4,2,2,2,6,3,4
804,2010,경기,하남시,,,1,1,13,7,8,14,10,5,3,7
805,2010,강원,춘천시,2,2,2,12,16,6,10,19,22,14,13,5
806,2010,강원,원주시,2,,2,6,13,9,7,15,11,10,13,2
807,2010,강원,동해시,,,,,2,,1,3,5,4,1,
808,2010,강원,강릉시,,,,4,7,9,10,5,14,7,4,3
809,2010,강원,속초시,,,,,2,6,4,8,1,2,1,2
810,2010,강원,태백시,,,,,4,2,,1,1,,,
811,2010,강원,삼척시,,,,1,3,,1,4,2,3,1,
812,2010,강원,홍천군,1,,,,3,2,,3,2,,3,
813,2010,강원,횡성군,1,,,1,,,2,,,4,2,
814,2010,강원,영월군,,,,,,,1,,,,,
815,2010,강원,평창군,,,,1,2,,,,1,2,,1
816,2010,강원,정선군,,,,,,,,1,,,1,
817,2010,강원,철원군,,,,,3,,,,,3,,
818,2010,강원,화천군,,,,1,,,1,1,,,,
819,2010,강원,양구군,,,,,2,1,,,1,1,,
820,2010,강원,인제군,,,,,,,,,,,,
821,2010,강원,고성군,,,,,,1,,1,,1,,
822,2010,강원,양양군,,,,,,,,,1,2,1,
823,2010,충북,청주시,7,3,4,24,37,28,19,29,52,35,28,13
824,2010,충북,충주시,1,1,1,3,9,10,5,20,14,15,8,4
825,2010,충북,제천시,1,,2,1,5,2,2,4,3,7,2,
826,2010,충북,청원군,,,,,2,3,5,4,6,5,5,2
827,2010,충북,보은군,,,,1,,,2,1,3,2,3,
828,2010,충북,옥천군,,,,,,2,2,2,2,2,1,
829,2010,충북,영동군,,,,,7,,2,4,1,4,1,1
830,2010,충북,진천군,,,,,2,2,2,1,1,1,,
831,2010,충북,괴산군,,,,,,1,1,,,,,
832,2010,충북,음성군,,,,2,2,3,,3,3,3,2,
833,2010,충북,단양군,,,,,,,1,,1,,,
834,2010,충북,증평군,,,,1,1,,,,1,6,1,
835,2010,충남,천안시,1,1,1,5,7,10,9,6,21,9,14,8
836,2010,충남,아산시,,,,2,3,,3,3,3,6,1,
837,2010,충남,보령시,,,1,,4,6,4,3,4,7,3,1
838,2010,충남,공주시,,,,2,2,2,1,4,4,4,4,
839,2010,충남,서산시,,,,1,6,3,4,4,6,7,4,2
840,2010,충남,금산군,,,1,1,2,1,2,,,2,,
841,2010,충남,태안군,,,,,1,1,1,1,1,1,1,
842,2010,충남,연기군,,,2,2,2,3,4,4,3,5,,
