acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
81,2007,경기,평택시,3,,3,8,10,5,8,5,12,15,10,4
82,2007,경기,광명시,,,4,4,4,3,5,2,4,5,3,1
83,2007,경기,구리시,1,,,3,1,3,2,10,4,3,3,3
84,2007,경기,양주시,,1,,,5,5,1,2,4,5,4,1
85,2007,경기,여주시,,,,1,1,,2,,3,5,1,
86,2007,경기,화성시,,1,1,1,6,3,3,3,7,5,2,
87,2007,경기,시흥시,3,1,2,8,14,4,8,9,8,14,5,3
88,2007,경기,파주시,,1,,2,6,6,6,4,7,8,2,2
89,2007,경기,고양시,4,2,5,18,21,15,12,35,38,34,19,9
90,2007,경기,광주시,1,,,1,5,1,9,1,4,1,4,
91,2007,경기,연천군,,,,,,1,2,2,,1,,
92,2007,경기,포천시,,,,3,1,2,3,,6,9,2,2
93,2007,경기,가평군,,,,1,1,2,2,6,2,4,2,1
94,2007,경기,양평군,1,,,,3,1,1,2,3,4,2,1
95,2007,경기,이천시,,,,,3,1,1,5,7,7,,3
96,2007,경기,용인시,3,1,1,5,3,3,7,5,8,9,5,4
97,2007,경기,안성시,,,,4,5,5,1,1,6,2,1,2
98,2007,경기,김포시,2,,1,1,1,4,3,5,5,6,,2
99,2007,경기,동두천시,1,,,1,7,5,8,1,9,7,3,2
100,2007,경기,과천시,,,,1,2,1,1,2,1,3,,1
101,2007,경기,군포시,,,4,1,1,1,2,3,2,10,3,1
102,2007,경기,남양주시,,,1,3,7,3,5,2,5,6,5,1
103,2007,경기,오산시,,,3,,,1,3,2,6,9,2,
104,2007,경기,의왕시,,,,1,,1,,1,1,2,1,1
105,2007,경기,하남시,,,2,3,5,7,5,5,6,2,2,1
106,2007,강원,춘천시,1,,1,6,15,9,13,13,10,16,10,5
107,2007,강원,원주시,1,,1,10,13,12,9,9,16,20,4,6
108,2007,강원,동해시,,1,,1,,1,1,1,,,2,
109,2007,강원,강릉시,1,,2,3,3,4,5,5,7,7,1,2
110,2007,강원,속초시,,,,,2,5,2,2,1,4,1,1
111,2007,강원,태백시,,,,,1,2,,3,2,2,,
112,2007,강원,삼척시,1,1,,2,4,3,3,4,6,3,4,1
113,2007,강원,홍천군,,,,1,2,1,1,2,2,2,2,
114,2007,강원,횡성군,,,1,,,1,2,2,1,1,1,
115,2007,강원,영월군,,,,,,3,,1,,,2,
116,2007,강원,평창군,,,,,,1,,2,1,1,1,
117,2007,강원,정선군,,,,,,1,,1,,1,,
118,2007,강원,철원군,,,1,1,2,,4,,4,2,2,
119,2007,강원,화천군,,,,,1,,,,1,2,1,
120,2007,강원,양구군,,,,,1,1,,1,,,,
121,2007,강원,인제군,,,,,,,,4,1,,,
122,2007,강원,고성군,,,,,,,1,,,,,1
123,2007,강원,양양군,,,1,1,2,1,1,1,1,,1,
124,2007,충북,청주시,4,1,2,17,25,24,26,24,39,25,22,13
125,2007,충북,충주시,,,1,3,12,12,6,15,11,6,3,4
126,2007,충북,제천시,,,2,4,5,4,2,3,3,5,1,
